parameter_name,human_estimate,human_std_error,source_table,normalization,source_note,estimate,std_error,z_value,p_value,robust_std_error,robust_z_value,robust_p_value,significant_5pct,difference_ai_minus_human,sign_match
B_BIKEACC_BS,2.345,0.458,Table_4,paper_pooled_raw,Bike accessibility interaction for bike sharing.,0.1569079432111038,0.1034875834939527,1.516200667882757,0.129468619245552,0.1962683330935556,0.7994562379877664,0.424025912208646,0,-2.1880920567888964,1
B_BIKEACC_WALK,0.495,0.406,Table_4,paper_pooled_raw,Bike accessibility interaction for walking.,0.1764858000946736,0.1323875204157865,1.3330999745322565,0.1824989977495734,0.2594720848396,0.6801725904494634,0.4963951854956949,0,-0.31851419990532637,1
B_BIKEACC_CS,1.621,0.415,Table_4,paper_pooled_raw,Bike accessibility interaction for carsharing.,0.3988790159182803,0.292227340273577,1.3649613193100218,0.1722652077234774,0.3775478480162829,1.0564992437755267,0.2907401861573233,0,-1.2221209840817198,1
B_BIKEACC_RP,1.13,0.505,Table_4,paper_pooled_raw,Bike accessibility interaction for ridepooling.,0.5832338533820073,1249.9373890841568,0.0004666104546319,0.99962769873585,4.989066061562877,0.1169024114303475,0.9069373872130208,0,-0.5467661466179926,1
B_BIKEACC_PT,0.9,0.351,Table_4,paper_pooled_raw,Bike accessibility interaction for public transport.,-0.0494636396827813,0.2742801563069528,-0.1803398406533846,0.856885780051913,0.2035555997511903,-0.2429981771233098,0.808006809582742,0,-0.9494636396827814,0
B_CARACC_ES,-0.858,0.3,Table_4,paper_pooled_raw,Car accessibility interaction for e-scooter sharing.,-0.7603309361158654,0.1243133545128877,-6.116245025284397,9.58059853672921e-10,0.1794950226219307,-4.235944401184571,2.2759309203701505e-05,1,0.09766906388413454,1
B_CARACC_BS,-1.026,0.304,Table_4,paper_pooled_raw,Car accessibility interaction for bike sharing.,-0.758794409145725,0.1065288599522315,-7.122899930459922,1.056710274838224e-12,0.1480678380172183,-5.124640295331976,2.981063091933578e-07,1,0.267205590854275,1
B_CARACC_WALK,-1.216,0.288,Table_4,paper_pooled_raw,Car accessibility interaction for walking.,-1.31835052757256,0.1490975887041471,-8.842198851307714,0.0,0.2546439169396919,-5.177231576612877,2.2520261477865239e-07,1,-0.10235052757256002,1
B_CARACC_CS,-1.164,0.231,Table_4,paper_pooled_raw,Car accessibility interaction for carsharing.,-0.4710220792670982,0.4493361077127001,-1.0482622499776133,0.2945177970848931,0.6050697586172384,-0.7784591322883523,0.4362983902994652,0,0.6929779207329017,1
B_CARACC_RP,-1.015,0.228,Table_4,paper_pooled_raw,Car accessibility interaction for ridepooling.,-1.0929472746870046,2594.8009951142653,-0.0004212065883838,0.9996639257761576,22.196429721711745,-0.0492397781260255,0.9607282113369195,0,-0.07794727468700469,1
B_CARACC_PT,-1.556,0.252,Table_4,paper_pooled_raw,Car accessibility interaction for public transport.,-3.163781703376066,1.1570952243331654,-2.734244889135512,0.0062523524221387,1.279321753991126,-2.47301485611884,0.0133978573387776,1,-1.607781703376066,1
B_PTPASS_ES,1.621,0.41,Table_4,paper_pooled_raw,Public-transport-pass interaction for e-scooter sharing.,-0.1134311010609326,0.2536054289992116,-0.447273946415734,0.6546772759125441,0.4500860462756925,-0.2520209235534761,0.8010248910227433,0,-1.7344311010609326,0
B_PTPASS_BS,1.799,0.384,Table_4,paper_pooled_raw,Public-transport-pass interaction for bike sharing.,-0.2734604539913656,0.216405312569871,-1.2636494490082038,0.2063558766546331,0.3801700914329887,-0.7193108036473921,0.4719494407573088,0,-2.0724604539913654,0
B_PTPASS_WALK,1.64,0.39,Table_4,paper_pooled_raw,Public-transport-pass interaction for walking.,-0.6990790159784743,0.2959539105131473,-2.3621212328850736,0.0181706989488972,0.5778729858780978,-1.2097451050012311,0.2263767163594208,0,-2.3390790159784745,0
B_PTPASS_CS,2.555,0.376,Table_4,paper_pooled_raw,Public-transport-pass interaction for carsharing.,-0.755850044383422,0.8859968623750863,-0.8531069087053191,0.3936000205389769,1.068168360421489,-0.7076132119146186,0.4791854859689142,0,-3.310850044383422,0
B_PTPASS_RP,2.476,0.456,Table_4,paper_pooled_raw,Public-transport-pass interaction for ridepooling.,2.368136282707193,2264.203365538701,0.0010459026422936,0.9991654905817576,2.6432020740662923,0.8959346339585991,0.3702876753073914,0,-0.10786371729280697,1
B_PTPASS_PT,3.651,0.337,Table_4,paper_pooled_raw,Public-transport-pass interaction for public transport.,-2.14215680826085,0.8752535050456893,-2.447470128267612,0.0143863049928039,0.6745089211866916,-3.17587616853468,0.0014938470376386,1,-5.79315680826085,0
B_MAAS_ES,1.377,0.48,Table_4,paper_pooled_raw,MaaS interaction for e-scooter sharing.,-0.36230347817353,0.3971045765025424,-0.9123628877926326,0.3615777192023151,0.5496168477557469,-0.6591928170559646,0.5097719588680405,0,-1.73930347817353,0
B_MAAS_BS,1.172,0.467,Table_4,paper_pooled_raw,MaaS interaction for bike sharing.,-1.2967145093037804,0.3774160113528595,-3.4357697349820078,0.0005908729434402,0.5016221943483744,-2.585042137117278,0.0097367097199994,1,-2.4687145093037803,0
B_MAAS_WALK,-0.228,0.468,Table_4,paper_pooled_raw,MaaS interaction for walking.,-2.6762740877522773,0.4786451165030519,-5.591353584269177,2.2530623811078957e-08,0.7402300579378456,-3.615462597138948,0.0002998117622159,1,-2.448274087752277,1
B_MAAS_CS,1.114,0.406,Table_4,paper_pooled_raw,MaaS interaction for carsharing.,0.9008662934062596,1.0526538321937042,0.8558048865208391,0.3921057118863078,1.0695785123620902,0.842262894209382,0.3996408159313322,0,-0.21313370659374054,1
